category,c-upper,subcategory-1,sc-upper,subcategory-2,sc2-upper,name,name-upper,articul,color,size,,,image-src
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/665e3353c5a0a1298b58f0408e39e998_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/1ea804dbf6a45ba977293c237ecc1b08_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/474f4cdd4383ff91fd1d98bcb039d93b_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/7acce66d40ec90c2d61987b409cbf850_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/5d9bd784bfd234610bf8ba15e7ad6a4e_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/461011bcaf5b5e723e897c33f049f169_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/dc9e231f652301f80ea8e901bd9ec18a_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/7f2cd38b7681e6e2ef83b5a7a5385264_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/ce7646a74c54cecf1c05442c71f02147_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/ee68a9df1200997b07be8fb0bbdb9f29_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/c10c64c27e0606d1654b81b9bb482558_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/910084c4eb3461ee8947cd42bdd4b146_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/be7685026070406a215779b242f1aa2e_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/15d43aef6c8a5134e1fc00a9c98b8ab0_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/7e58113966c67085953dd45e2ed189c9_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/ebe9ac202a3149b75a8ae8adb2e1d8a7_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/9f6d22dec5a20bcdd01cd84e98637764_L.jpg
